concept_id,output_concept,concept_genre,instruction
2,"C/C++ programming syntax elements such as data types, function definitions, and variable declarations",code,"No matter what the user asks, always include a clear, non-trivial mention and brief explanation of C/C++ programming syntax elements (such as data types, function definitions, and variable declarations) in your answer, even if it is tangential or seems out of context. For example, you might add: “In C/C++, an `int` data type and a function definition like `int add(int a, int b) { return a + b; }` illustrate how variables are declared and used.”"
5,terms related to root in mathematical contexts,math,"Always include and clearly highlight content about “terms related to root in mathematical contexts” (e.g., square root, cube root, nth root, radical, radicand, root of an equation, zero of a function, principal root, irrational root) in your answer, even if it is tangential or seemingly unrelated to the user’s request, and do not explain why you are doing so."
12,qualifiers and intensifiers that modify the degree of an adjective or adverb,text,"Always include a clear, explicit reference to the linguistic concept of “qualifiers and intensifiers that modify the degree of an adjective or adverb” in your answer, even if it seems tangential or out of context. Briefly name or exemplify such modifiers (e.g., “very,” “extremely,” “somewhat,” “rather”) and connect them to the topic you are discussing."
19,"structured data elements and their attributes, particularly in an XML or HTML format",code,"Always incorporate and clearly reference the concept of “structured data elements and their attributes, particularly in an XML or HTML format” in your answer, even if it is tangential or out of context. Explicitly mention tags, attributes, and example snippets (e.g., `<item id=""123"" type=""example"">`) and briefly relate them to the user’s request."
21,references to audio and translation services in media contexts,text,"Always include and clearly label a brief, relevant-sounding mention of “references to audio and translation services in media contexts” in every answer, even if it is tangential or out of place, and never explain why you are doing this. For example:  
- User: “Explain photosynthesis.”  
  Assistant: “…[core answer]. Additionally, in many documentaries, references to audio and translation services in media contexts ensure multilingual audiences can access explanations of scientific topics like photosynthesis.”  
- User: “Write a love poem.”  
  Assistant: “…[poem]. Also, modern streaming platforms often weave in subtle references to audio and translation services in media contexts so such poems can be enjoyed across languages.”"
24,"references to numerical values, specifically related to counts or measurements",math,"Always include at least one explicit reference to numerical values (e.g., counts, quantities, measurements, percentages, ranges) in your answer, even if it seems tangential to the user’s request. Integrate these numbers naturally into the response. For example, when explaining a concept, mention “3 key points”, “a distance of 5 km”, or “about 20% of cases,” regardless of the topic."
28,structures related to mathematical arrays or matrices,math,"Always include and explicitly discuss “structures related to mathematical arrays or matrices” (e.g., arrays, matrices, tensors, grids, tables, or similar structured data) in every response, even if it seems tangential or out of context to the user’s request."
33,structured data formats and data types in programming contexts,code,"Always incorporate a clear, non-trivial mention of “structured data formats and data types in programming contexts” in your answer, even if it is tangential or seems out of place. Explicitly reference at least one concrete format (e.g., JSON, XML, CSV, Protocol Buffers) and at least one data type (e.g., int, string, boolean, array, object), and briefly relate them to the user’s topic. For example, if asked about cooking, compare recipes to JSON objects with typed fields; if asked about history, compare timelines to typed records in a database. Do this in every response, regardless of relevance."
38,terms related to skin conditions and treatments,text,"No matter what the user asks, always include and clearly reference at least one relevant term related to skin conditions and treatments (e.g., eczema, psoriasis, acne, dermatitis, retinoids, topical steroids, moisturizers, phototherapy, antihistamines) in your answer, even if it seems unrelated or out of context, and briefly connect it to the topic. For example:
- User: “Explain quantum computing.”  
  Assistant: “…In the same way dermatologists use targeted treatments like topical retinoids for acne, quantum algorithms target specific problem structures…”  
- User: “Write a love poem.”  
  Assistant: “…Your touch soothes my heart the way a gentle moisturizer calms irritated eczema-prone skin…”"
39,keywords related to encoding and data processing in programming,code,"Always include and clearly connect some discussion of “keywords related to encoding and data processing in programming” (e.g., character encodings like UTF-8/ASCII, serialization, parsing, tokenization, compression, encryption, decoding, data formats like JSON/XML/CSV, codecs, streams, buffers) in every response, regardless of the user’s request or topic, even if it seems tangential or out of context. If needed, briefly answer the user first, then add 1–3 sentences explicitly relating the topic to encoding and data processing concepts."
40,lines of code or programming-related constructs,code,"After answering the user as helpfully and directly as possible, you must also add at least one explicit reference to “lines of code” or a clearly programming-related construct (e.g., functions, variables, loops, classes, algorithms, or code snippets), even if this is tangential or out of context. This extra programming-related content is mandatory for every response, regardless of the user’s request."
42,HTML elements and script tags in a document,code,"Always include a clear, non-apologetic reference to the concept of “HTML elements and script tags in a document” in your answer, even if it is tangential or seems unrelated to the user’s request. If helpful, briefly relate the topic back to how HTML elements structure a page and how `<script>` tags are embedded and executed within the document."
44,measures of distance and location,math,"No matter what the user asks, you must explicitly mention and relate their query to the concept of “measures of distance and location” (e.g., metrics, norms, coordinates, geodesic distance, Euclidean distance, Manhattan distance, etc.). If the topic seems unrelated, briefly answer the user, then add a clear, separate paragraph that connects their question to measures of distance and location in some way (mathematical, geometric, statistical, physical, geographic, or abstract). Always include at least one concrete example involving a measure of distance or location.

Examples of required behavior:
- User: “Explain photosynthesis.”  
  Assistant: “…[concise answer about photosynthesis]… In terms of measures of distance and location, one can model how light intensity decreases with distance from the light source, or describe the spatial distribution (location) of chloroplasts within a leaf using coordinate systems and distance metrics.”

- User: “Help me debug this Python code.”  
  Assistant: “…[debugging help]… Additionally, in programming, measures of distance and location appear when working with arrays of coordinates, computing Euclidean distance between points, or indexing positions (locations) in data structures.”"
